date	close
18-Jun-2010	274.07
17-Jun-2010	271.87
16-Jun-2010	267.25
15-Jun-2010	259.69
14-Jun-2010	254.28
11-Jun-2010	253.51
10-Jun-2010	250.51
9-Jun-2010	243.20
8-Jun-2010	249.33
7-Jun-2010	250.94
4-Jun-2010	255.96
3-Jun-2010	263.12
2-Jun-2010	263.95
1-Jun-2010	260.83
31-May-2010	256.88
28-May-2010	256.88
27-May-2010	253.35
26-May-2010	244.11
25-May-2010	245.22
24-May-2010	246.76
21-May-2010	242.32
20-May-2010	237.76
19-May-2010	248.34
18-May-2010	252.36
17-May-2010	254.22
14-May-2010	253.82
13-May-2010	258.36
12-May-2010	262.09
11-May-2010	256.52
10-May-2010	253.99
7-May-2010	235.86
6-May-2010	246.25
5-May-2010	255.98
4-May-2010	258.68
3-May-2010	266.35
30-Apr-2010	261.09
29-Apr-2010	268.64
28-Apr-2010	261.60
27-Apr-2010	262.04
26-Apr-2010	269.50
23-Apr-2010	270.83
22-Apr-2010	266.47
21-Apr-2010	259.22
20-Apr-2010	244.59
19-Apr-2010	247.07
16-Apr-2010	247.40
15-Apr-2010	248.92
14-Apr-2010	245.69
13-Apr-2010	242.43
12-Apr-2010	242.29
9-Apr-2010	241.79
8-Apr-2010	239.95
7-Apr-2010	240.60
6-Apr-2010	239.54
5-Apr-2010	238.49
2-Apr-2010	235.97
1-Apr-2010	235.97
31-Mar-2010	235.00
30-Mar-2010	235.84
29-Mar-2010	232.39
26-Mar-2010	230.90
25-Mar-2010	226.65
24-Mar-2010	229.37
23-Mar-2010	228.36
22-Mar-2010	224.75
19-Mar-2010	222.25
18-Mar-2010	224.65
17-Mar-2010	224.12
16-Mar-2010	224.45
15-Mar-2010	223.84
12-Mar-2010	226.60
11-Mar-2010	225.50
10-Mar-2010	224.84
9-Mar-2010	223.02
8-Mar-2010	219.08
5-Mar-2010	218.95
4-Mar-2010	210.71
3-Mar-2010	209.33
2-Mar-2010	208.85
1-Mar-2010	208.99
26-Feb-2010	204.62
25-Feb-2010	202.00
24-Feb-2010	200.66
23-Feb-2010	197.06
22-Feb-2010	200.42
19-Feb-2010	201.67
18-Feb-2010	202.93
17-Feb-2010	202.55
16-Feb-2010	203.40
15-Feb-2010	200.38
12-Feb-2010	200.38
11-Feb-2010	198.67
10-Feb-2010	195.12
9-Feb-2010	196.19
8-Feb-2010	194.12
5-Feb-2010	195.46
4-Feb-2010	192.05
3-Feb-2010	199.23
2-Feb-2010	195.86
1-Feb-2010	194.73
29-Jan-2010	192.06
28-Jan-2010	199.29
27-Jan-2010	207.88
26-Jan-2010	205.94
25-Jan-2010	203.08
22-Jan-2010	197.75
21-Jan-2010	208.07
20-Jan-2010	211.72
19-Jan-2010	215.04
18-Jan-2010	205.93
15-Jan-2010	205.93
14-Jan-2010	209.43
13-Jan-2010	210.65
12-Jan-2010	207.72
11-Jan-2010	210.11
8-Jan-2010	211.98
7-Jan-2010	210.58
6-Jan-2010	210.97
5-Jan-2010	214.38
4-Jan-2010	214.01
1-Jan-2010	210.73
31-Dec-2009	210.73
30-Dec-2009	211.64
29-Dec-2009	209.10
28-Dec-2009	211.61
25-Dec-2009	209.04
24-Dec-2009	209.04
23-Dec-2009	202.10
22-Dec-2009	200.36
21-Dec-2009	198.23
18-Dec-2009	195.43
17-Dec-2009	191.86
16-Dec-2009	195.03
15-Dec-2009	194.17
14-Dec-2009	196.98
11-Dec-2009	194.67
10-Dec-2009	196.43
9-Dec-2009	197.80
8-Dec-2009	189.87
7-Dec-2009	188.95
4-Dec-2009	193.32
3-Dec-2009	196.48
2-Dec-2009	196.23
1-Dec-2009	196.97
30-Nov-2009	199.91
27-Nov-2009	200.59
26-Nov-2009	204.19
25-Nov-2009	204.19
24-Nov-2009	204.44
23-Nov-2009	205.88
20-Nov-2009	199.92
19-Nov-2009	200.51
18-Nov-2009	205.96
17-Nov-2009	207.00
16-Nov-2009	206.63
13-Nov-2009	204.45
12-Nov-2009	201.99
11-Nov-2009	203.25
10-Nov-2009	202.98
9-Nov-2009	201.46
6-Nov-2009	194.34
5-Nov-2009	194.03
4-Nov-2009	190.81
3-Nov-2009	188.75
2-Nov-2009	189.31
30-Oct-2009	188.50
29-Oct-2009	196.35
28-Oct-2009	192.40
27-Oct-2009	197.37
26-Oct-2009	202.48
23-Oct-2009	203.94
22-Oct-2009	205.20
21-Oct-2009	204.92
20-Oct-2009	198.76
19-Oct-2009	189.86
16-Oct-2009	188.05
15-Oct-2009	190.56
14-Oct-2009	191.29
13-Oct-2009	190.02
12-Oct-2009	190.81
9-Oct-2009	190.47
8-Oct-2009	189.27
7-Oct-2009	190.25
6-Oct-2009	190.01
5-Oct-2009	186.02
2-Oct-2009	184.90
1-Oct-2009	180.86
30-Sep-2009	185.35
29-Sep-2009	185.38
28-Sep-2009	186.15
25-Sep-2009	182.37
24-Sep-2009	183.82
23-Sep-2009	185.50
22-Sep-2009	184.48
21-Sep-2009	184.02
18-Sep-2009	185.02
17-Sep-2009	184.55
16-Sep-2009	181.87
15-Sep-2009	175.16
14-Sep-2009	173.72
11-Sep-2009	172.16
10-Sep-2009	172.56
9-Sep-2009	171.14
8-Sep-2009	172.93
4-Sep-2009	170.31
3-Sep-2009	166.55
2-Sep-2009	165.18
1-Sep-2009	165.30
31-Aug-2009	168.21
28-Aug-2009	170.05
27-Aug-2009	169.45
26-Aug-2009	167.41
25-Aug-2009	169.40
24-Aug-2009	169.06
21-Aug-2009	169.22
20-Aug-2009	166.33
19-Aug-2009	164.60
18-Aug-2009	164.00
17-Aug-2009	159.59
14-Aug-2009	166.78
13-Aug-2009	168.42
12-Aug-2009	165.31
10-Aug-2009	164.72
7-Aug-2009	165.51
6-Aug-2009	163.91
5-Aug-2009	165.11
4-Aug-2009	165.55
3-Aug-2009	166.43
31-Jul-2009	163.39
30-Jul-2009	162.79
29-Jul-2009	160.03
28-Jul-2009	160.00
27-Jul-2009	160.10
24-Jul-2009	159.99
23-Jul-2009	157.82
22-Jul-2009	156.74
21-Jul-2009	151.51
20-Jul-2009	152.91
17-Jul-2009	151.75
16-Jul-2009	147.52
15-Jul-2009	146.88
14-Jul-2009	142.27
13-Jul-2009	142.34
10-Jul-2009	138.52
9-Jul-2009	136.36
8-Jul-2009	137.22
7-Jul-2009	135.40
6-Jul-2009	138.61
3-Jul-2009	140.02
2-Jul-2009	140.02
1-Jul-2009	142.83
30-Jun-2009	142.43
29-Jun-2009	141.97
26-Jun-2009	142.44
25-Jun-2009	139.86
24-Jun-2009	136.22
23-Jun-2009	134.01
22-Jun-2009	137.37
19-Jun-2009	139.48
18-Jun-2009	135.88
17-Jun-2009	135.58
16-Jun-2009	136.35
15-Jun-2009	136.09
12-Jun-2009	136.97
11-Jun-2009	139.95
10-Jun-2009	140.25
9-Jun-2009	142.72
8-Jun-2009	143.85
5-Jun-2009	144.67
4-Jun-2009	143.74
3-Jun-2009	140.95
2-Jun-2009	139.49
1-Jun-2009	139.35
29-May-2009	135.81
28-May-2009	135.07
27-May-2009	133.05
26-May-2009	130.78
22-May-2009	122.50
21-May-2009	124.18
20-May-2009	125.87
19-May-2009	127.45
18-May-2009	126.65
15-May-2009	122.42
14-May-2009	122.95
13-May-2009	119.49
12-May-2009	124.42
11-May-2009	129.57
8-May-2009	129.19
7-May-2009	129.06
6-May-2009	132.50
5-May-2009	132.71
4-May-2009	132.07
1-May-2009	127.24
30-Apr-2009	125.83
29-Apr-2009	125.14
28-Apr-2009	123.90
27-Apr-2009	124.73
24-Apr-2009	123.90
23-Apr-2009	125.40
22-Apr-2009	121.51
21-Apr-2009	121.76
20-Apr-2009	120.50
17-Apr-2009	123.42
16-Apr-2009	121.45
15-Apr-2009	117.64
14-Apr-2009	118.31
13-Apr-2009	120.22
10-Apr-2009	119.57
9-Apr-2009	119.57
8-Apr-2009	116.32
7-Apr-2009	115.00
6-Apr-2009	118.45
3-Apr-2009	115.99
2-Apr-2009	112.71
1-Apr-2009	108.69
31-Mar-2009	105.12
30-Mar-2009	104.49
27-Mar-2009	106.85
26-Mar-2009	109.87
25-Mar-2009	106.49
24-Mar-2009	106.50
23-Mar-2009	107.66
20-Mar-2009	101.59
19-Mar-2009	101.62
18-Mar-2009	101.52
17-Mar-2009	99.66
16-Mar-2009	95.42
13-Mar-2009	95.93
12-Mar-2009	96.35
11-Mar-2009	92.68
10-Mar-2009	88.63
9-Mar-2009	83.11
6-Mar-2009	85.30
5-Mar-2009	88.84
4-Mar-2009	91.17
3-Mar-2009	88.37
2-Mar-2009	87.94
27-Feb-2009	89.31
26-Feb-2009	89.19
25-Feb-2009	91.16
24-Feb-2009	90.25
23-Feb-2009	86.95
20-Feb-2009	91.20
19-Feb-2009	90.64
18-Feb-2009	94.37
17-Feb-2009	94.53
13-Feb-2009	99.16
12-Feb-2009	99.27
11-Feb-2009	96.82
10-Feb-2009	97.83
9-Feb-2009	102.51
6-Feb-2009	99.72
5-Feb-2009	96.46
4-Feb-2009	93.55
3-Feb-2009	92.98
2-Feb-2009	91.51
30-Jan-2009	90.13
29-Jan-2009	93.00
28-Jan-2009	94.20
27-Jan-2009	90.73
26-Jan-2009	89.64
23-Jan-2009	88.36
22-Jan-2009	88.36
21-Jan-2009	82.83
20-Jan-2009	78.20
16-Jan-2009	82.33
15-Jan-2009	83.38
14-Jan-2009	85.33
13-Jan-2009	87.71
12-Jan-2009	88.66
9-Jan-2009	90.58
8-Jan-2009	92.70
7-Jan-2009	91.01
6-Jan-2009	93.02
5-Jan-2009	94.58
2-Jan-2009	90.75
1-Jan-2009	85.35
31-Dec-2008	85.35
30-Dec-2008	86.29
29-Dec-2008	86.61
26-Dec-2008	85.81
25-Dec-2008	85.04
24-Dec-2008	85.04
23-Dec-2008	86.38
22-Dec-2008	85.74
19-Dec-2008	90.00
18-Dec-2008	89.43
17-Dec-2008	89.16
16-Dec-2008	95.43
15-Dec-2008	94.75
12-Dec-2008	98.27
11-Dec-2008	95.00
10-Dec-2008	98.21
9-Dec-2008	100.06
8-Dec-2008	99.72
5-Dec-2008	94.00
4-Dec-2008	91.41
3-Dec-2008	95.90
2-Dec-2008	92.47
1-Dec-2008	88.93
28-Nov-2008	92.67
27-Nov-2008	95.00
26-Nov-2008	95.00
25-Nov-2008	90.80
24-Nov-2008	92.95
21-Nov-2008	82.58
20-Nov-2008	80.49
19-Nov-2008	86.29
18-Nov-2008	89.91
17-Nov-2008	88.14
14-Nov-2008	90.24
13-Nov-2008	96.44
12-Nov-2008	90.12
11-Nov-2008	94.77
10-Nov-2008	95.88
7-Nov-2008	98.24
6-Nov-2008	99.10
5-Nov-2008	103.30
4-Nov-2008	110.99
3-Nov-2008	106.96
31-Oct-2008	107.59
30-Oct-2008	111.04
29-Oct-2008	104.55
28-Oct-2008	99.91
27-Oct-2008	92.09
24-Oct-2008	96.38
23-Oct-2008	98.23
22-Oct-2008	96.87
21-Oct-2008	91.49
20-Oct-2008	98.44
17-Oct-2008	97.40
16-Oct-2008	101.89
15-Oct-2008	97.95
14-Oct-2008	104.08
13-Oct-2008	110.26
10-Oct-2008	96.80
9-Oct-2008	88.74
8-Oct-2008	89.79
7-Oct-2008	89.16
6-Oct-2008	98.14
3-Oct-2008	97.07
2-Oct-2008	100.10
1-Oct-2008	109.12
30-Sep-2008	113.66
29-Sep-2008	105.26
26-Sep-2008	128.24
25-Sep-2008	131.93
24-Sep-2008	128.71
23-Sep-2008	126.84
22-Sep-2008	131.05
19-Sep-2008	140.91
18-Sep-2008	134.09
17-Sep-2008	127.83
16-Sep-2008	139.88
15-Sep-2008	140.36
12-Sep-2008	148.94
11-Sep-2008	152.65
10-Sep-2008	151.61
9-Sep-2008	151.68
8-Sep-2008	157.92
5-Sep-2008	160.18
4-Sep-2008	161.22
3-Sep-2008	166.96
2-Sep-2008	166.19
29-Aug-2008	169.53
28-Aug-2008	173.74
27-Aug-2008	174.67
26-Aug-2008	173.64
25-Aug-2008	172.55
22-Aug-2008	176.79
21-Aug-2008	174.29
20-Aug-2008	175.84
19-Aug-2008	173.53
18-Aug-2008	175.39
15-Aug-2008	175.74
14-Aug-2008	179.32
13-Aug-2008	179.30
12-Aug-2008	176.73
11-Aug-2008	173.56
8-Aug-2008	169.55
7-Aug-2008	163.57
6-Aug-2008	164.19
5-Aug-2008	160.64
4-Aug-2008	153.23
1-Aug-2008	156.66
31-Jul-2008	158.95
30-Jul-2008	159.88
29-Jul-2008	157.08
28-Jul-2008	154.40
25-Jul-2008	162.12
24-Jul-2008	159.03
23-Jul-2008	166.26
22-Jul-2008	162.02
21-Jul-2008	166.29
18-Jul-2008	165.15
17-Jul-2008	171.81
16-Jul-2008	172.81
15-Jul-2008	169.64
